exercise_name,equipment_name,target_muscle,demo_link,,,"""Sources"""
Lying Leg Curl,Leg Curl Machine,Hamstrings,https://www.youtube.com/watch?v=1Tq3QdYUuHs,,,
Single-Leg Deadlifts,Dumbbells,Hamstrings,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Single-Leg Leg Curl,Leg Curl Machine,Hamstrings,https://www.youtube.com/watch?v=lQSlJHtsnRA,,,
Seated Hip Abduction,Band,Hip Abductors,https://www.youtube.com/watch?v=-seSnS4N8Xo,,,
Leg Extension,Leg Extension Machine,Quads,https://www.youtube.com/watch?v=YyvSfVjQeL0,,,
Leg Press,Leg Press Machine,Quads,,,,
Single-Leg Leg Extension,Leg Extension Machine,Quads,https://www.youtube.com/watch?v=3VIpG6rtFAc,,,
Back Squat,Barbell,Quads/Glutes,https://www.youtube.com/watch?v=dW5-C1fsMjk,,,
Deadlift,Barbell,Quads/Glutes,https://www.youtube.com/watch?v=vRKDvt695pg,,,
Dumbbell Walking Lunge,Dumbbells,Quads/Glutes,https://www.youtube.com/watch?v=vni4lElTvsY,,,
Front Squat,Barbell,Quads/Glutes,https://www.youtube.com/watch?v=v-mQm_droHg,,,
Goblet Squat,Dumbbells/Kettlebell,Quads/Glutes,https://www.youtube.com/watch?v=MeIiIdhvXT4,,,
Kettlebell Swings,Kettlebell,Quads/Glutes,https://www.self.com/gallery/beginner-kettlebell-moves,,,
Lunges,,Quads/Glutes,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Squats,,Quads/Glutes,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Cable Lateral Raise,Cable Machine,Shoulders,https://www.youtube.com/watch?v=PPrzBWZDOhA,,,
Dumbbell Lateral Raise,Dumbbells,Shoulders,https://www.youtube.com/watch?v=6m7JO28RqZg,,,
Overhead Dumbbell Press,Dumbbells,Shoulders,https://www.healthline.com/health/fitness-exercise/10-best-exercises-everyday#start-here,,,
Lat Pulldown,Cable Machine,Shoulders/Back/Biceps,https://www.youtube.com/watch?v=0oeIB6wi3es,,,
Neutral-Grip Pulldown,Cable Machine,Shoulders/Back/Biceps,https://www.youtube.com/watch?v=E1FK9APxk54,,,
Single-Arm Pulldown,Cable Machine,Shoulders/Back/Biceps,https://www.youtube.com/watch?v=0BT533ueEdI,,,
Supinated Pulldown,Cable Machine,Shoulders/Back/Biceps,https://www.youtube.com/watch?v=apzFTbsm7HU,,,
Hand to Hand Swings,Kettlebell,Shoulders/Biceps,https://www.self.com/gallery/beginner-kettlebell-moves,,,
Seated Face Pull,Cable Machine,Shoulders/Biceps,https://www.youtube.com/watch?v=HSoHeSjvIdY,,,
Power Clean,Barbell,Shoulders/Glutes/Hamstrings/Calves,https://www.youtube.com/watch?v=GVt4uQ0sDJE,,,
Dumbell Shoulder Press,Dumbbells/Bench,Shoulders/Triceps,https://www.youtube.com/watch?v=qEwKCR5JCog,,,
Military Press,Barbell/Dumbbells,Shoulders/Triceps,https://www.youtube.com/watch?v=CnBmiBqp-AI,,,
Assisted Dips,Assisted Dip Machine,Triceps,https://www.youtube.com/watch?v=wjUmnZH528Y,,,
Cable Tricep Kickback,Dumbbells/Cable Machine,Triceps,https://www.youtube.com/watch?v=bxPoVw8_khE,,,
Dips,,Triceps,https://www.youtube.com/watch?v=yN6Q1UI_xkE,,,
Dumbbell Skull Crusher,Dumbbells,Triceps,https://www.youtube.com/watch?v=ZUZOn9c1VVI,,,
EZ Bar Skull Crusher,EZ Bar,Triceps,https://www.youtube.com/watch?v=d_KZxkY_0cM,,,
Single-Arm Rope Tricep Extension,Cable Machine,Triceps,https://www.youtube.com/watch?v=FxK2mF0iPXs,,,
